utm_source,specialty,semestr_cost_amt,score,util_flg,approve_flg,initial_term,short_nm,initial_approved_amt,reject_reason,gender_cd,semestr_cnt,marketing_flag,education_level_code,age,subside_rate
0.642892561983471,0.6450812407680946,180000,0.83,0,0,2,0.6527027027027027,0.0,0.8263959390862945,0.6316941117764471,4,0,0.6290040222179659,16,3.2
0.642892561983471,0.6424617067833699,270000,0.78,0,0,3,0.6648657718120805,0.0,0.826865671641791,0.6533140120967742,8,0,0.6290040222179659,17,3.3
0.6283076499724821,0.6410555946516538,245000,0.65,1,1,4,0.6480110497237569,1960000.0,0.6229445214979196,0.6316941117764471,8,1,0.6290040222179659,19,3.9
0.642892561983471,0.6424410774410774,200000,0.65,1,1,2,0.6185750636132316,900000.0,0.6229445214979196,0.6533140120967742,6,0,0.6290040222179659,19,3.6
0.642892561983471,0.6450812407680946,290000,0.68,0,1,1,0.6648657718120805,580000.0,0.6229445214979196,0.6533140120967742,2,0,0.6290040222179659,16,3.4
0.6283076499724821,0.6424410774410774,350000,0.62,1,1,2,0.6316076294277929,1050000.0,0.6229445214979196,0.6316941117764471,4,1,0.6290040222179659,18,3.5
0.642892561983471,0.6424617067833699,210000,0.71,1,1,2,0.6527027027027027,630000.0,0.6229445214979196,0.6533140120967742,4,0,0.6934342379958246,24,3.1
0.6283076499724821,0.6486604361370716,265000,0.66,0,1,2,0.6185750636132316,954000.0,0.6229445214979196,0.6316941117764471,4,0,0.6934342379958246,21,3.8
0.6283076499724821,0.6369180327868852,270000,0.52,1,1,2,0.6443196544276458,1296000.0,0.6229445214979196,0.6316941117764471,6,0,0.6290040222179659,18,4.0
0.6283076499724821,0.6486604361370716,315000,0.59,0,1,2,0.6316076294277929,945000.0,0.6229445214979196,0.6533140120967742,4,1,0.6934342379958246,22,4.0
0.6624693312227938,0.6486604361370716,225000,0.54,1,1,2,0.6443196544276458,900000.0,0.6229445214979196,0.6316941117764471,8,1,0.6290040222179659,16,4.0
0.6624693312227938,0.6424410774410774,240000,0.73,1,1,2,0.6529647058823529,768000.0,0.6229445214979196,0.6533140120967742,4,1,0.6934342379958246,22,3.4
0.6283076499724821,0.6424617067833699,420000,0.53,1,1,3,0.6316076294277929,2520000.0,0.6229445214979196,0.6533140120967742,8,1,0.6290040222179659,19,3.4
0.642892561983471,0.6450812407680946,150000,0.64,1,1,2,0.6165676567656766,720000.0,0.6229445214979196,0.6533140120967742,8,0,0.6290040222179659,17,3.5
0.6624693312227938,0.6424617067833699,320000,0.6,1,1,2,0.6648657718120805,960000.0,0.6229445214979196,0.6533140120967742,6,0,0.6290040222179659,17,3.8
0.6283076499724821,0.6424617067833699,140000,0.54,1,1,3,0.661505376344086,756000.0,0.6229445214979196,0.6533140120967742,6,0,0.6096901072705603,17,3.4
0.642892561983471,0.6424410774410774,220000,0.68,1,1,2,0.661505376344086,1056000.0,0.6229445214979196,0.6533140120967742,8,1,0.6290040222179659,17,3.8
0.642892561983471,0.6423543689320388,155000,0.54,1,1,4,0.6434829059829059,1116000.0,0.6229445214979196,0.6316941117764471,8,1,0.6290040222179659,18,4.4
0.642892561983471,0.6424410774410774,140000,0.64,1,1,2,0.6527027027027027,672000.0,0.6229445214979196,0.6316941117764471,6,0,0.6290040222179659,15,3.2
0.6283076499724821,0.6424617067833699,370000,0.72,1,1,1,0.6316076294277929,666000.0,0.6229445214979196,0.6533140120967742,2,0,0.6934342379958246,22,4.8
0.6624693312227938,0.6410555946516538,300000,0.65,1,1,3,0.6185750636132316,1800000.0,0.6229445214979196,0.6533140120967742,6,0,0.6290040222179659,15,3.7
0.6283076499724821,0.6424410774410774,300000,0.68,0,1,3,0.6648657718120805,1920000.0,0.6229445214979196,0.6533140120967742,8,0,0.6290040222179659,17,4.4
0.6624693312227938,0.6486604361370716,155000,0.64,0,1,2,0.6246534653465347,558000.0,0.6229445214979196,0.6316941117764471,6,0,0.6096901072705603,17,4.0
0.642892561983471,0.6410555946516538,450000,0.67,0,1,3,0.6316076294277929,2700000.0,0.6229445214979196,0.6533140120967742,8,0,0.6290040222179659,19,4.2
0.6283076499724821,0.6369180327868852,260000,0.52,0,1,2,0.6648657718120805,1040000.0,0.6229445214979196,0.6316941117764471,4,0,0.6290040222179659,16,3.3
0.6624693312227938,0.6486604361370716,315000,0.58,1,1,2,0.6514349376114081,1512000.0,0.6229445214979196,0.6316941117764471,6,1,0.6290040222179659,19,4.0
0.6283076499724821,0.6424410774410774,300000,0.73,0,0,2,0.6185750636132316,0.0,0.8290960451977402,0.6533140120967742,8,0,0.6290040222179659,15,4.4
0.6624693312227938,0.644056603773585,210000,0.69,0,1,1,0.6185750636132316,420000.0,0.6229445214979196,0.6533140120967742,2,0,0.6934342379958246,21,3.1
0.642892561983471,0.6410555946516538,195000,0.66,1,1,2,0.6480110497237569,702000.0,0.6229445214979196,0.6533140120967742,6,0,0.6290040222179659,16,4.0
0.6624693312227938,0.6410555946516538,400000,0.72,1,1,2,0.6514349376114081,1200000.0,0.6229445214979196,0.6316941117764471,4,1,0.6934342379958246,21,4.0
